ImageID,Source,LabelName,Confidence,mg_label,hv_label
783deeba0ed143cd,verification,/m/04rky,1,1,1
eead5c8cb4bafe1f,verification,/m/04rky,1,1,1
bce4712aedb6eb6b,verification,/m/04rky,1,1,1
3c080d87e09970fc,verification,/m/04rky,1,1,1
dcbec09cdb9e02e5,verification,/m/04rky,0,1,0
f6fef25c5498b07c,verification,/m/04rky,1,1,1
4f60efca444a8b71,verification,/m/04rky,1,0,1
8fd4fde25a8839fc,verification,/m/04rky,0,0,0
283833c1920741d6,verification,/m/04rky,0,0,0
8891b44945889b84,verification,/m/04rky,1,1,1
0645a4aa8d1165d5,verification,/m/04rky,0,0,0
cd6b65cbb90bd7c8,verification,/m/04rky,1,0,1
bffee7ac3873e24f,verification,/m/04rky,0,1,0
4f88e0ff8c0a93e8,verification,/m/04rky,0,0,0
33435e94c0c39077,verification,/m/04rky,1,0,1
306c1e7a9f9ccaef,verification,/m/04rky,0,0,0
197d1eb1bada9183,verification,/m/04rky,0,0,0
ba8409388a3d694e,verification,/m/04rky,0,0,0
8e2e2396392d71c6,verification,/m/04rky,0,0,0
0fe73678341c5315,verification,/m/04rky,1,1,1
3ca875afe74c682d,verification,/m/04rky,0,1,0
bc7d791072a0e05e,verification,/m/04rky,1,1,1
28f45b12ee25ae19,verification,/m/04rky,1,1,1
2c8da238a541ab6f,verification,/m/04rky,0,0,0
0755c308c03f0bdc,verification,/m/04rky,1,0,1
13959d4be0ed2e5e,verification,/m/04rky,0,1,0
961cbb41a5bd4442,verification,/m/04rky,0,0,0
c8f1283a520c9b27,verification,/m/04rky,1,0,1
725062a9b3d84985,verification,/m/04rky,1,1,1
d4734be0543f0bbe,verification,/m/04rky,0,0,0
ec906609041277eb,verification,/m/04rky,1,1,1
6e6497a9fb37f10d,verification,/m/04rky,0,0,0
8125c39d732f94f4,verification,/m/04rky,0,1,0
5fd6d0ae7dbe57ab,verification,/m/04rky,0,0,0
3fa65c1b95976387,verification,/m/04rky,0,0,0
76d71199ef93778b,verification,/m/04rky,1,1,1
3f86586d23c34a68,verification,/m/04rky,1,1,1
